group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fast_fib,,34,,,1007625.0,ns,117324
fast_fib,,34,,,2059583.0,ns,234648
fast_fib,,34,,,3041291.0,ns,351972
fast_fib,,34,,,3952083.0,ns,469296
fast_fib,,34,,,4857875.0,ns,586620
fast_fib,,34,,,5832458.0,ns,703944
fast_fib,,34,,,6819458.0,ns,821268
fast_fib,,34,,,7838666.0,ns,938592
fast_fib,,34,,,8767583.0,ns,1055916
fast_fib,,34,,,9712500.0,ns,1173240
fast_fib,,34,,,10881500.0,ns,1290564
fast_fib,,34,,,11710750.0,ns,1407888
fast_fib,,34,,,12969084.0,ns,1525212
fast_fib,,34,,,13949250.0,ns,1642536
fast_fib,,34,,,14650417.0,ns,1759860
fast_fib,,34,,,15553833.0,ns,1877184
fast_fib,,34,,,16504000.0,ns,1994508
fast_fib,,34,,,17454416.0,ns,2111832
fast_fib,,34,,,18708500.0,ns,2229156
fast_fib,,34,,,19468166.0,ns,2346480
fast_fib,,34,,,20448750.0,ns,2463804
fast_fib,,34,,,21387000.0,ns,2581128
fast_fib,,34,,,22296625.0,ns,2698452
fast_fib,,34,,,23590958.0,ns,2815776
fast_fib,,34,,,25108208.0,ns,2933100
fast_fib,,34,,,25262875.0,ns,3050424
fast_fib,,34,,,27028166.0,ns,3167748
fast_fib,,34,,,28016667.0,ns,3285072
fast_fib,,34,,,28997875.0,ns,3402396
fast_fib,,34,,,29532541.0,ns,3519720
fast_fib,,34,,,30124292.0,ns,3637044
fast_fib,,34,,,31955542.0,ns,3754368
fast_fib,,34,,,32132542.0,ns,3871692
fast_fib,,34,,,32836041.0,ns,3989016
fast_fib,,34,,,33895583.0,ns,4106340
fast_fib,,34,,,36496625.0,ns,4223664
fast_fib,,34,,,37060000.0,ns,4340988
fast_fib,,34,,,37928250.0,ns,4458312
fast_fib,,34,,,39036834.0,ns,4575636
fast_fib,,34,,,39180042.0,ns,4692960
fast_fib,,34,,,40277084.0,ns,4810284
fast_fib,,34,,,41565042.0,ns,4927608
fast_fib,,34,,,42691667.0,ns,5044932
fast_fib,,34,,,43341083.0,ns,5162256
fast_fib,,34,,,44268958.0,ns,5279580
fast_fib,,34,,,44824000.0,ns,5396904
fast_fib,,34,,,46285708.0,ns,5514228
fast_fib,,34,,,46740083.0,ns,5631552
fast_fib,,34,,,48088000.0,ns,5748876
fast_fib,,34,,,49271709.0,ns,5866200
fast_fib,,34,,,50333791.0,ns,5983524
fast_fib,,34,,,50682583.0,ns,6100848
fast_fib,,34,,,51979208.0,ns,6218172
fast_fib,,34,,,54193625.0,ns,6335496
fast_fib,,34,,,59343791.0,ns,6452820
fast_fib,,34,,,55270875.0,ns,6570144
fast_fib,,34,,,56847041.0,ns,6687468
fast_fib,,34,,,58465250.0,ns,6804792
fast_fib,,34,,,57814708.0,ns,6922116
fast_fib,,34,,,59273958.0,ns,7039440
fast_fib,,34,,,60881542.0,ns,7156764
fast_fib,,34,,,61414959.0,ns,7274088
fast_fib,,34,,,63056333.0,ns,7391412
fast_fib,,34,,,63177083.0,ns,7508736
fast_fib,,34,,,64471875.0,ns,7626060
fast_fib,,34,,,64678250.0,ns,7743384
fast_fib,,34,,,66787791.0,ns,7860708
fast_fib,,34,,,66634125.0,ns,7978032
fast_fib,,34,,,67884083.0,ns,8095356
fast_fib,,34,,,69962875.0,ns,8212680
fast_fib,,34,,,70917625.0,ns,8330004
fast_fib,,34,,,71799250.0,ns,8447328
fast_fib,,34,,,72521041.0,ns,8564652
fast_fib,,34,,,72154000.0,ns,8681976
fast_fib,,34,,,74004583.0,ns,8799300
fast_fib,,34,,,75625167.0,ns,8916624
fast_fib,,34,,,75434500.0,ns,9033948
fast_fib,,34,,,76427125.0,ns,9151272
fast_fib,,34,,,77761333.0,ns,9268596
fast_fib,,34,,,78425166.0,ns,9385920
fast_fib,,34,,,79136542.0,ns,9503244
fast_fib,,34,,,80364042.0,ns,9620568
fast_fib,,34,,,82793917.0,ns,9737892
fast_fib,,34,,,82657291.0,ns,9855216
fast_fib,,34,,,83216083.0,ns,9972540
fast_fib,,34,,,84994375.0,ns,10089864
fast_fib,,34,,,85789292.0,ns,10207188
fast_fib,,34,,,85789625.0,ns,10324512
fast_fib,,34,,,86966292.0,ns,10441836
fast_fib,,34,,,88355375.0,ns,10559160
fast_fib,,34,,,88949875.0,ns,10676484
fast_fib,,34,,,89661625.0,ns,10793808
fast_fib,,34,,,91286833.0,ns,10911132
fast_fib,,34,,,94660708.0,ns,11028456
fast_fib,,34,,,93427708.0,ns,11145780
fast_fib,,34,,,95302375.0,ns,11263104
fast_fib,,34,,,96934833.0,ns,11380428
fast_fib,,34,,,95738084.0,ns,11497752
fast_fib,,34,,,97396834.0,ns,11615076
fast_fib,,34,,,98150625.0,ns,11732400
