group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_dedup,,2000,2000,elements,1837625.0,ns,2
slow_dedup,,2000,2000,elements,3745584.0,ns,4
slow_dedup,,2000,2000,elements,5979625.0,ns,6
slow_dedup,,2000,2000,elements,7699667.0,ns,8
slow_dedup,,2000,2000,elements,10298041.0,ns,10
slow_dedup,,2000,2000,elements,11622375.0,ns,12
slow_dedup,,2000,2000,elements,13335458.0,ns,14
slow_dedup,,2000,2000,elements,15465542.0,ns,16
slow_dedup,,2000,2000,elements,17376125.0,ns,18
slow_dedup,,2000,2000,elements,19242000.0,ns,20
slow_dedup,,2000,2000,elements,21838250.0,ns,22
slow_dedup,,2000,2000,elements,22948958.0,ns,24
slow_dedup,,2000,2000,elements,25393083.0,ns,26
slow_dedup,,2000,2000,elements,26773833.0,ns,28
slow_dedup,,2000,2000,elements,28893375.0,ns,30
slow_dedup,,2000,2000,elements,31275625.0,ns,32
slow_dedup,,2000,2000,elements,32847333.0,ns,34
slow_dedup,,2000,2000,elements,34153416.0,ns,36
slow_dedup,,2000,2000,elements,36795208.0,ns,38
slow_dedup,,2000,2000,elements,38296000.0,ns,40
slow_dedup,,2000,2000,elements,41129000.0,ns,42
slow_dedup,,2000,2000,elements,43183458.0,ns,44
slow_dedup,,2000,2000,elements,44644167.0,ns,46
slow_dedup,,2000,2000,elements,45786583.0,ns,48
slow_dedup,,2000,2000,elements,48190542.0,ns,50
slow_dedup,,2000,2000,elements,50136542.0,ns,52
slow_dedup,,2000,2000,elements,52366541.0,ns,54
slow_dedup,,2000,2000,elements,53501625.0,ns,56
slow_dedup,,2000,2000,elements,58884083.0,ns,58
slow_dedup,,2000,2000,elements,57801916.0,ns,60
slow_dedup,,2000,2000,elements,61125334.0,ns,62
slow_dedup,,2000,2000,elements,61465292.0,ns,64
slow_dedup,,2000,2000,elements,64001958.0,ns,66
slow_dedup,,2000,2000,elements,66241250.0,ns,68
slow_dedup,,2000,2000,elements,68777916.0,ns,70
slow_dedup,,2000,2000,elements,70459459.0,ns,72
slow_dedup,,2000,2000,elements,72463250.0,ns,74
slow_dedup,,2000,2000,elements,73368250.0,ns,76
slow_dedup,,2000,2000,elements,75174041.0,ns,78
slow_dedup,,2000,2000,elements,77872750.0,ns,80
slow_dedup,,2000,2000,elements,80226000.0,ns,82
slow_dedup,,2000,2000,elements,81184708.0,ns,84
slow_dedup,,2000,2000,elements,83029416.0,ns,86
slow_dedup,,2000,2000,elements,86009708.0,ns,88
slow_dedup,,2000,2000,elements,86698708.0,ns,90
slow_dedup,,2000,2000,elements,89625917.0,ns,92
slow_dedup,,2000,2000,elements,92088458.0,ns,94
slow_dedup,,2000,2000,elements,94307500.0,ns,96
slow_dedup,,2000,2000,elements,96704291.0,ns,98
slow_dedup,,2000,2000,elements,97346708.0,ns,100
slow_dedup,,2000,2000,elements,100203209.0,ns,102
slow_dedup,,2000,2000,elements,101817750.0,ns,104
slow_dedup,,2000,2000,elements,103852959.0,ns,106
slow_dedup,,2000,2000,elements,105648166.0,ns,108
slow_dedup,,2000,2000,elements,108283625.0,ns,110
slow_dedup,,2000,2000,elements,112487708.0,ns,112
slow_dedup,,2000,2000,elements,115277167.0,ns,114
slow_dedup,,2000,2000,elements,116972625.0,ns,116
slow_dedup,,2000,2000,elements,116855417.0,ns,118
slow_dedup,,2000,2000,elements,119338458.0,ns,120
slow_dedup,,2000,2000,elements,120337875.0,ns,122
slow_dedup,,2000,2000,elements,120400292.0,ns,124
slow_dedup,,2000,2000,elements,125064917.0,ns,126
slow_dedup,,2000,2000,elements,128407333.0,ns,128
slow_dedup,,2000,2000,elements,131437083.0,ns,130
slow_dedup,,2000,2000,elements,130199625.0,ns,132
slow_dedup,,2000,2000,elements,134192583.0,ns,134
slow_dedup,,2000,2000,elements,137859417.0,ns,136
slow_dedup,,2000,2000,elements,138904875.0,ns,138
slow_dedup,,2000,2000,elements,141294500.0,ns,140
slow_dedup,,2000,2000,elements,141860792.0,ns,142
slow_dedup,,2000,2000,elements,146748875.0,ns,144
slow_dedup,,2000,2000,elements,144311917.0,ns,146
slow_dedup,,2000,2000,elements,149170000.0,ns,148
slow_dedup,,2000,2000,elements,152391209.0,ns,150
slow_dedup,,2000,2000,elements,152265917.0,ns,152
slow_dedup,,2000,2000,elements,154067334.0,ns,154
slow_dedup,,2000,2000,elements,157845041.0,ns,156
slow_dedup,,2000,2000,elements,156358250.0,ns,158
slow_dedup,,2000,2000,elements,159979084.0,ns,160
