group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_fib,,28,,,1321333.0,ns,2
slow_fib,,28,,,2661708.0,ns,4
slow_fib,,28,,,3857000.0,ns,6
slow_fib,,28,,,5019333.0,ns,8
slow_fib,,28,,,6599334.0,ns,10
slow_fib,,28,,,7876334.0,ns,12
slow_fib,,28,,,8863167.0,ns,14
slow_fib,,28,,,10307000.0,ns,16
slow_fib,,28,,,11822125.0,ns,18
slow_fib,,28,,,11541125.0,ns,20
slow_fib,,28,,,13791833.0,ns,22
slow_fib,,28,,,15408792.0,ns,24
slow_fib,,28,,,16756667.0,ns,26
slow_fib,,28,,,19820042.0,ns,28
slow_fib,,28,,,21219625.0,ns,30
slow_fib,,28,,,20740583.0,ns,32
slow_fib,,28,,,21423916.0,ns,34
slow_fib,,28,,,23231708.0,ns,36
slow_fib,,28,,,23705875.0,ns,38
slow_fib,,28,,,25426792.0,ns,40
slow_fib,,28,,,26336375.0,ns,42
slow_fib,,28,,,27966750.0,ns,44
slow_fib,,28,,,28118375.0,ns,46
slow_fib,,28,,,29537875.0,ns,48
slow_fib,,28,,,30992000.0,ns,50
slow_fib,,28,,,33556625.0,ns,52
slow_fib,,28,,,34370208.0,ns,54
slow_fib,,28,,,34477250.0,ns,56
slow_fib,,28,,,37734166.0,ns,58
slow_fib,,28,,,39765708.0,ns,60
slow_fib,,28,,,37515167.0,ns,62
slow_fib,,28,,,40104583.0,ns,64
slow_fib,,28,,,41564875.0,ns,66
slow_fib,,28,,,42654375.0,ns,68
slow_fib,,28,,,44421042.0,ns,70
slow_fib,,28,,,46262834.0,ns,72
slow_fib,,28,,,47465292.0,ns,74
slow_fib,,28,,,46850250.0,ns,76
slow_fib,,28,,,47681084.0,ns,78
slow_fib,,28,,,48702250.0,ns,80
slow_fib,,28,,,49342750.0,ns,82
slow_fib,,28,,,50409041.0,ns,84
slow_fib,,28,,,52668125.0,ns,86
slow_fib,,28,,,52947083.0,ns,88
slow_fib,,28,,,54826416.0,ns,90
slow_fib,,28,,,55784084.0,ns,92
slow_fib,,28,,,56788542.0,ns,94
slow_fib,,28,,,58573791.0,ns,96
slow_fib,,28,,,60444958.0,ns,98
slow_fib,,28,,,60133500.0,ns,100
slow_fib,,28,,,62988416.0,ns,102
slow_fib,,28,,,65631084.0,ns,104
slow_fib,,28,,,65039459.0,ns,106
slow_fib,,28,,,66957916.0,ns,108
slow_fib,,28,,,66793666.0,ns,110
slow_fib,,28,,,69074167.0,ns,112
slow_fib,,28,,,69826292.0,ns,114
slow_fib,,28,,,70884459.0,ns,116
slow_fib,,28,,,72506833.0,ns,118
slow_fib,,28,,,73779125.0,ns,120
slow_fib,,28,,,74288709.0,ns,122
slow_fib,,28,,,74919959.0,ns,124
slow_fib,,28,,,75894375.0,ns,126
slow_fib,,28,,,77271458.0,ns,128
slow_fib,,28,,,78897167.0,ns,130
slow_fib,,28,,,80344416.0,ns,132
slow_fib,,28,,,79745292.0,ns,134
slow_fib,,28,,,81901167.0,ns,136
slow_fib,,28,,,82683542.0,ns,138
slow_fib,,28,,,85138500.0,ns,140
slow_fib,,28,,,85759041.0,ns,142
slow_fib,,28,,,88422166.0,ns,144
slow_fib,,28,,,87330833.0,ns,146
slow_fib,,28,,,88258000.0,ns,148
slow_fib,,28,,,90782500.0,ns,150
slow_fib,,28,,,92646542.0,ns,152
slow_fib,,28,,,94499041.0,ns,154
slow_fib,,28,,,94489750.0,ns,156
slow_fib,,28,,,96882541.0,ns,158
slow_fib,,28,,,98002125.0,ns,160
slow_fib,,28,,,97585916.0,ns,162
slow_fib,,28,,,100290250.0,ns,164
slow_fib,,28,,,100797584.0,ns,166
slow_fib,,28,,,102595084.0,ns,168
slow_fib,,28,,,105239625.0,ns,170
slow_fib,,28,,,106639750.0,ns,172
slow_fib,,28,,,105247708.0,ns,174
slow_fib,,28,,,107056000.0,ns,176
slow_fib,,28,,,108763000.0,ns,178
slow_fib,,28,,,110641334.0,ns,180
slow_fib,,28,,,113433750.0,ns,182
slow_fib,,28,,,111166166.0,ns,184
slow_fib,,28,,,112950250.0,ns,186
slow_fib,,28,,,114551167.0,ns,188
slow_fib,,28,,,117012083.0,ns,190
slow_fib,,28,,,114940208.0,ns,192
slow_fib,,28,,,118320334.0,ns,194
slow_fib,,28,,,122364417.0,ns,196
slow_fib,,28,,,123388459.0,ns,198
slow_fib,,28,,,123983042.0,ns,200
