group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_fib,,34,,,54088125.0,ns,5
slow_fib,,34,,,54486417.0,ns,5
slow_fib,,34,,,55120500.0,ns,5
slow_fib,,34,,,54920625.0,ns,5
slow_fib,,34,,,56291333.0,ns,5
slow_fib,,34,,,57012958.0,ns,5
slow_fib,,34,,,53623500.0,ns,5
slow_fib,,34,,,55003625.0,ns,5
slow_fib,,34,,,53036125.0,ns,5
slow_fib,,34,,,52960667.0,ns,5
slow_fib,,34,,,53663250.0,ns,5
slow_fib,,34,,,53995541.0,ns,5
slow_fib,,34,,,53945417.0,ns,5
slow_fib,,34,,,54014333.0,ns,5
slow_fib,,34,,,54095250.0,ns,5
slow_fib,,34,,,54956625.0,ns,5
slow_fib,,34,,,55372417.0,ns,5
slow_fib,,34,,,53996334.0,ns,5
slow_fib,,34,,,54571041.0,ns,5
slow_fib,,34,,,54759958.0,ns,5
slow_fib,,34,,,54541125.0,ns,5
slow_fib,,34,,,52743000.0,ns,5
slow_fib,,34,,,53474667.0,ns,5
slow_fib,,34,,,53403166.0,ns,5
slow_fib,,34,,,55172750.0,ns,5
slow_fib,,34,,,54856000.0,ns,5
slow_fib,,34,,,54153709.0,ns,5
slow_fib,,34,,,55182667.0,ns,5
slow_fib,,34,,,54951666.0,ns,5
slow_fib,,34,,,53474500.0,ns,5
slow_fib,,34,,,54542875.0,ns,5
slow_fib,,34,,,56171333.0,ns,5
slow_fib,,34,,,54524500.0,ns,5
slow_fib,,34,,,53819958.0,ns,5
slow_fib,,34,,,54028875.0,ns,5
slow_fib,,34,,,55431416.0,ns,5
slow_fib,,34,,,54045041.0,ns,5
slow_fib,,34,,,53921667.0,ns,5
slow_fib,,34,,,53725584.0,ns,5
slow_fib,,34,,,53533667.0,ns,5
slow_fib,,34,,,54623583.0,ns,5
slow_fib,,34,,,54632541.0,ns,5
slow_fib,,34,,,53820042.0,ns,5
slow_fib,,34,,,54175709.0,ns,5
slow_fib,,34,,,54626625.0,ns,5
slow_fib,,34,,,54497833.0,ns,5
slow_fib,,34,,,53973000.0,ns,5
slow_fib,,34,,,54237666.0,ns,5
slow_fib,,34,,,54109083.0,ns,5
slow_fib,,34,,,53881667.0,ns,5
slow_fib,,34,,,54345541.0,ns,5
slow_fib,,34,,,55016917.0,ns,5
slow_fib,,34,,,55686583.0,ns,5
slow_fib,,34,,,56084833.0,ns,5
slow_fib,,34,,,55423125.0,ns,5
slow_fib,,34,,,54020916.0,ns,5
slow_fib,,34,,,53768250.0,ns,5
slow_fib,,34,,,54204625.0,ns,5
slow_fib,,34,,,54092250.0,ns,5
slow_fib,,34,,,55220875.0,ns,5
slow_fib,,34,,,53288417.0,ns,5
slow_fib,,34,,,54157750.0,ns,5
slow_fib,,34,,,55250208.0,ns,5
slow_fib,,34,,,54633583.0,ns,5
slow_fib,,34,,,54450166.0,ns,5
slow_fib,,34,,,54525875.0,ns,5
slow_fib,,34,,,55349500.0,ns,5
slow_fib,,34,,,56777209.0,ns,5
slow_fib,,34,,,54209500.0,ns,5
slow_fib,,34,,,54031417.0,ns,5
slow_fib,,34,,,54231584.0,ns,5
slow_fib,,34,,,55252958.0,ns,5
slow_fib,,34,,,55618667.0,ns,5
slow_fib,,34,,,55392584.0,ns,5
slow_fib,,34,,,55991500.0,ns,5
slow_fib,,34,,,54920083.0,ns,5
slow_fib,,34,,,54357750.0,ns,5
slow_fib,,34,,,54828041.0,ns,5
slow_fib,,34,,,55333417.0,ns,5
slow_fib,,34,,,55253000.0,ns,5
slow_fib,,34,,,54723250.0,ns,5
slow_fib,,34,,,53909833.0,ns,5
slow_fib,,34,,,55097667.0,ns,5
slow_fib,,34,,,54503125.0,ns,5
slow_fib,,34,,,54592917.0,ns,5
slow_fib,,34,,,54862917.0,ns,5
slow_fib,,34,,,55499208.0,ns,5
slow_fib,,34,,,54516041.0,ns,5
slow_fib,,34,,,55085791.0,ns,5
slow_fib,,34,,,55097583.0,ns,5
slow_fib,,34,,,55609208.0,ns,5
slow_fib,,34,,,56354250.0,ns,5
slow_fib,,34,,,56119167.0,ns,5
slow_fib,,34,,,55200000.0,ns,5
slow_fib,,34,,,55060250.0,ns,5
slow_fib,,34,,,55143417.0,ns,5
slow_fib,,34,,,55421084.0,ns,5
slow_fib,,34,,,54874500.0,ns,5
slow_fib,,34,,,54367833.0,ns,5
slow_fib,,34,,,54432042.0,ns,5
