group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sum_even,,1000000,1000000,elements,1105792.0,ns,9
sum_even,,1000000,1000000,elements,2243750.0,ns,18
sum_even,,1000000,1000000,elements,3381042.0,ns,27
sum_even,,1000000,1000000,elements,4470459.0,ns,36
sum_even,,1000000,1000000,elements,5642417.0,ns,45
sum_even,,1000000,1000000,elements,6673458.0,ns,54
sum_even,,1000000,1000000,elements,7868000.0,ns,63
sum_even,,1000000,1000000,elements,8879209.0,ns,72
sum_even,,1000000,1000000,elements,10077125.0,ns,81
sum_even,,1000000,1000000,elements,11097958.0,ns,90
sum_even,,1000000,1000000,elements,12202291.0,ns,99
sum_even,,1000000,1000000,elements,13465125.0,ns,108
sum_even,,1000000,1000000,elements,14485417.0,ns,117
sum_even,,1000000,1000000,elements,15618084.0,ns,126
sum_even,,1000000,1000000,elements,16574959.0,ns,135
sum_even,,1000000,1000000,elements,17816167.0,ns,144
sum_even,,1000000,1000000,elements,18890708.0,ns,153
sum_even,,1000000,1000000,elements,20117250.0,ns,162
sum_even,,1000000,1000000,elements,21261250.0,ns,171
sum_even,,1000000,1000000,elements,22259500.0,ns,180
sum_even,,1000000,1000000,elements,22957917.0,ns,189
sum_even,,1000000,1000000,elements,24411458.0,ns,198
sum_even,,1000000,1000000,elements,25646583.0,ns,207
sum_even,,1000000,1000000,elements,26610750.0,ns,216
sum_even,,1000000,1000000,elements,27430125.0,ns,225
sum_even,,1000000,1000000,elements,28988750.0,ns,234
sum_even,,1000000,1000000,elements,30064042.0,ns,243
sum_even,,1000000,1000000,elements,31336083.0,ns,252
sum_even,,1000000,1000000,elements,32360667.0,ns,261
sum_even,,1000000,1000000,elements,33366167.0,ns,270
sum_even,,1000000,1000000,elements,34546042.0,ns,279
sum_even,,1000000,1000000,elements,35612458.0,ns,288
sum_even,,1000000,1000000,elements,36782500.0,ns,297
sum_even,,1000000,1000000,elements,38151375.0,ns,306
sum_even,,1000000,1000000,elements,40083542.0,ns,315
sum_even,,1000000,1000000,elements,40288083.0,ns,324
