group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sum_even,,50000,50000,elements,988166.0,ns,161
sum_even,,50000,50000,elements,1991333.0,ns,322
sum_even,,50000,50000,elements,2978708.0,ns,483
sum_even,,50000,50000,elements,4001791.0,ns,644
sum_even,,50000,50000,elements,4995000.0,ns,805
sum_even,,50000,50000,elements,5965291.0,ns,966
sum_even,,50000,50000,elements,6970917.0,ns,1127
sum_even,,50000,50000,elements,7707000.0,ns,1288
sum_even,,50000,50000,elements,8868334.0,ns,1449
sum_even,,50000,50000,elements,9909209.0,ns,1610
sum_even,,50000,50000,elements,11054667.0,ns,1771
sum_even,,50000,50000,elements,11679791.0,ns,1932
sum_even,,50000,50000,elements,12869583.0,ns,2093
sum_even,,50000,50000,elements,13885458.0,ns,2254
sum_even,,50000,50000,elements,14912958.0,ns,2415
sum_even,,50000,50000,elements,15907959.0,ns,2576
sum_even,,50000,50000,elements,16930667.0,ns,2737
sum_even,,50000,50000,elements,17952416.0,ns,2898
sum_even,,50000,50000,elements,19007292.0,ns,3059
sum_even,,50000,50000,elements,19424708.0,ns,3220
sum_even,,50000,50000,elements,20803000.0,ns,3381
sum_even,,50000,50000,elements,21797250.0,ns,3542
sum_even,,50000,50000,elements,22908084.0,ns,3703
sum_even,,50000,50000,elements,23462708.0,ns,3864
sum_even,,50000,50000,elements,24823459.0,ns,4025
sum_even,,50000,50000,elements,25913959.0,ns,4186
sum_even,,50000,50000,elements,26938208.0,ns,4347
sum_even,,50000,50000,elements,27849625.0,ns,4508
sum_even,,50000,50000,elements,28981041.0,ns,4669
sum_even,,50000,50000,elements,29882167.0,ns,4830
sum_even,,50000,50000,elements,30669125.0,ns,4991
sum_even,,50000,50000,elements,31686000.0,ns,5152
sum_even,,50000,50000,elements,32949417.0,ns,5313
sum_even,,50000,50000,elements,33828042.0,ns,5474
sum_even,,50000,50000,elements,34871458.0,ns,5635
sum_even,,50000,50000,elements,35517167.0,ns,5796
sum_even,,50000,50000,elements,36869917.0,ns,5957
sum_even,,50000,50000,elements,37900584.0,ns,6118
sum_even,,50000,50000,elements,38313250.0,ns,6279
sum_even,,50000,50000,elements,39756917.0,ns,6440
sum_even,,50000,50000,elements,40961292.0,ns,6601
sum_even,,50000,50000,elements,41826791.0,ns,6762
sum_even,,50000,50000,elements,42896750.0,ns,6923
sum_even,,50000,50000,elements,43504667.0,ns,7084
sum_even,,50000,50000,elements,44869625.0,ns,7245
sum_even,,50000,50000,elements,45270084.0,ns,7406
sum_even,,50000,50000,elements,46741958.0,ns,7567
sum_even,,50000,50000,elements,47189583.0,ns,7728
sum_even,,50000,50000,elements,48617917.0,ns,7889
sum_even,,50000,50000,elements,49589166.0,ns,8050
sum_even,,50000,50000,elements,49946083.0,ns,8211
sum_even,,50000,50000,elements,51982583.0,ns,8372
sum_even,,50000,50000,elements,53152500.0,ns,8533
sum_even,,50000,50000,elements,53182916.0,ns,8694
sum_even,,50000,50000,elements,54836459.0,ns,8855
sum_even,,50000,50000,elements,55147750.0,ns,9016
sum_even,,50000,50000,elements,56816625.0,ns,9177
sum_even,,50000,50000,elements,57642209.0,ns,9338
sum_even,,50000,50000,elements,58486292.0,ns,9499
sum_even,,50000,50000,elements,59482458.0,ns,9660
sum_even,,50000,50000,elements,60807500.0,ns,9821
sum_even,,50000,50000,elements,61865875.0,ns,9982
sum_even,,50000,50000,elements,63033333.0,ns,10143
sum_even,,50000,50000,elements,63362083.0,ns,10304
sum_even,,50000,50000,elements,64703125.0,ns,10465
sum_even,,50000,50000,elements,65718666.0,ns,10626
sum_even,,50000,50000,elements,66330000.0,ns,10787
sum_even,,50000,50000,elements,68013250.0,ns,10948
sum_even,,50000,50000,elements,68605083.0,ns,11109
sum_even,,50000,50000,elements,69993416.0,ns,11270
sum_even,,50000,50000,elements,70129084.0,ns,11431
sum_even,,50000,50000,elements,71654708.0,ns,11592
sum_even,,50000,50000,elements,72197708.0,ns,11753
sum_even,,50000,50000,elements,73118125.0,ns,11914
sum_even,,50000,50000,elements,74031500.0,ns,12075
sum_even,,50000,50000,elements,75601458.0,ns,12236
sum_even,,50000,50000,elements,75458667.0,ns,12397
sum_even,,50000,50000,elements,77722458.0,ns,12558
sum_even,,50000,50000,elements,78345292.0,ns,12719
sum_even,,50000,50000,elements,79683416.0,ns,12880
sum_even,,50000,50000,elements,80740458.0,ns,13041
sum_even,,50000,50000,elements,82208708.0,ns,13202
sum_even,,50000,50000,elements,82477708.0,ns,13363
sum_even,,50000,50000,elements,83359959.0,ns,13524
sum_even,,50000,50000,elements,83931542.0,ns,13685
sum_even,,50000,50000,elements,85732416.0,ns,13846
sum_even,,50000,50000,elements,86123708.0,ns,14007
sum_even,,50000,50000,elements,87771625.0,ns,14168
sum_even,,50000,50000,elements,87893792.0,ns,14329
sum_even,,50000,50000,elements,89728750.0,ns,14490
sum_even,,50000,50000,elements,91070959.0,ns,14651
sum_even,,50000,50000,elements,90933375.0,ns,14812
sum_even,,50000,50000,elements,92637208.0,ns,14973
sum_even,,50000,50000,elements,93319167.0,ns,15134
sum_even,,50000,50000,elements,94382875.0,ns,15295
sum_even,,50000,50000,elements,95959041.0,ns,15456
sum_even,,50000,50000,elements,96284500.0,ns,15617
sum_even,,50000,50000,elements,96804833.0,ns,15778
sum_even,,50000,50000,elements,98437167.0,ns,15939
sum_even,,50000,50000,elements,99486167.0,ns,16100
