group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sum_even,,50000,50000,elements,1021875.0,ns,164
sum_even,,50000,50000,elements,2139584.0,ns,328
sum_even,,50000,50000,elements,3121459.0,ns,492
sum_even,,50000,50000,elements,4150750.0,ns,656
sum_even,,50000,50000,elements,5352458.0,ns,820
sum_even,,50000,50000,elements,6190125.0,ns,984
sum_even,,50000,50000,elements,6989084.0,ns,1148
sum_even,,50000,50000,elements,8002167.0,ns,1312
sum_even,,50000,50000,elements,9017375.0,ns,1476
sum_even,,50000,50000,elements,9981625.0,ns,1640
sum_even,,50000,50000,elements,10972542.0,ns,1804
sum_even,,50000,50000,elements,11988167.0,ns,1968
sum_even,,50000,50000,elements,12902041.0,ns,2132
sum_even,,50000,50000,elements,13569041.0,ns,2296
sum_even,,50000,50000,elements,14877833.0,ns,2460
sum_even,,50000,50000,elements,16047750.0,ns,2624
sum_even,,50000,50000,elements,17069708.0,ns,2788
sum_even,,50000,50000,elements,18109875.0,ns,2952
sum_even,,50000,50000,elements,19026333.0,ns,3116
sum_even,,50000,50000,elements,20083291.0,ns,3280
sum_even,,50000,50000,elements,21032250.0,ns,3444
sum_even,,50000,50000,elements,22023792.0,ns,3608
sum_even,,50000,50000,elements,24641917.0,ns,3772
sum_even,,50000,50000,elements,23555333.0,ns,3936
sum_even,,50000,50000,elements,24287458.0,ns,4100
sum_even,,50000,50000,elements,25534125.0,ns,4264
sum_even,,50000,50000,elements,27203500.0,ns,4428
sum_even,,50000,50000,elements,28018250.0,ns,4592
sum_even,,50000,50000,elements,28839750.0,ns,4756
sum_even,,50000,50000,elements,29319834.0,ns,4920
sum_even,,50000,50000,elements,30806375.0,ns,5084
sum_even,,50000,50000,elements,32183292.0,ns,5248
sum_even,,50000,50000,elements,32757375.0,ns,5412
sum_even,,50000,50000,elements,33475167.0,ns,5576
sum_even,,50000,50000,elements,34031750.0,ns,5740
sum_even,,50000,50000,elements,36051042.0,ns,5904
sum_even,,50000,50000,elements,36611291.0,ns,6068
sum_even,,50000,50000,elements,37377417.0,ns,6232
sum_even,,50000,50000,elements,38626417.0,ns,6396
sum_even,,50000,50000,elements,40185583.0,ns,6560
sum_even,,50000,50000,elements,41129500.0,ns,6724
sum_even,,50000,50000,elements,41847375.0,ns,6888
sum_even,,50000,50000,elements,43947250.0,ns,7052
sum_even,,50000,50000,elements,44136583.0,ns,7216
sum_even,,50000,50000,elements,44884416.0,ns,7380
sum_even,,50000,50000,elements,46196000.0,ns,7544
sum_even,,50000,50000,elements,47110042.0,ns,7708
sum_even,,50000,50000,elements,48427750.0,ns,7872
sum_even,,50000,50000,elements,48628542.0,ns,8036
sum_even,,50000,50000,elements,49930250.0,ns,8200
sum_even,,50000,50000,elements,50359875.0,ns,8364
sum_even,,50000,50000,elements,52089292.0,ns,8528
sum_even,,50000,50000,elements,52731125.0,ns,8692
sum_even,,50000,50000,elements,53480417.0,ns,8856
sum_even,,50000,50000,elements,53175250.0,ns,9020
sum_even,,50000,50000,elements,55760416.0,ns,9184
sum_even,,50000,50000,elements,56615666.0,ns,9348
sum_even,,50000,50000,elements,57580667.0,ns,9512
sum_even,,50000,50000,elements,59344583.0,ns,9676
sum_even,,50000,50000,elements,60398667.0,ns,9840
sum_even,,50000,50000,elements,61068750.0,ns,10004
sum_even,,50000,50000,elements,63143500.0,ns,10168
sum_even,,50000,50000,elements,62166542.0,ns,10332
sum_even,,50000,50000,elements,64587500.0,ns,10496
sum_even,,50000,50000,elements,63914834.0,ns,10660
sum_even,,50000,50000,elements,64761792.0,ns,10824
sum_even,,50000,50000,elements,65979250.0,ns,10988
sum_even,,50000,50000,elements,68096917.0,ns,11152
sum_even,,50000,50000,elements,68490917.0,ns,11316
sum_even,,50000,50000,elements,70448292.0,ns,11480
sum_even,,50000,50000,elements,69243250.0,ns,11644
sum_even,,50000,50000,elements,70253416.0,ns,11808
sum_even,,50000,50000,elements,72053375.0,ns,11972
sum_even,,50000,50000,elements,72733875.0,ns,12136
sum_even,,50000,50000,elements,73698875.0,ns,12300
sum_even,,50000,50000,elements,75516417.0,ns,12464
sum_even,,50000,50000,elements,77026333.0,ns,12628
sum_even,,50000,50000,elements,78554583.0,ns,12792
sum_even,,50000,50000,elements,78434917.0,ns,12956
sum_even,,50000,50000,elements,78923500.0,ns,13120
sum_even,,50000,50000,elements,80827166.0,ns,13284
sum_even,,50000,50000,elements,82405417.0,ns,13448
sum_even,,50000,50000,elements,81217042.0,ns,13612
sum_even,,50000,50000,elements,81720166.0,ns,13776
sum_even,,50000,50000,elements,84872833.0,ns,13940
sum_even,,50000,50000,elements,85314875.0,ns,14104
sum_even,,50000,50000,elements,86479875.0,ns,14268
sum_even,,50000,50000,elements,87376917.0,ns,14432
sum_even,,50000,50000,elements,88183584.0,ns,14596
sum_even,,50000,50000,elements,90106459.0,ns,14760
sum_even,,50000,50000,elements,90852625.0,ns,14924
sum_even,,50000,50000,elements,91065458.0,ns,15088
sum_even,,50000,50000,elements,92765500.0,ns,15252
sum_even,,50000,50000,elements,93004583.0,ns,15416
sum_even,,50000,50000,elements,94510166.0,ns,15580
sum_even,,50000,50000,elements,95459041.0,ns,15744
sum_even,,50000,50000,elements,95868250.0,ns,15908
sum_even,,50000,50000,elements,96618125.0,ns,16072
sum_even,,50000,50000,elements,98045834.0,ns,16236
sum_even,,50000,50000,elements,100058709.0,ns,16400
